,start,end,timenow,time,num
77,"(24.1837584, 120.6037066)","(24.11555, 120.6101949)",2018-01-09 15:55:00,23 だ,1.0
78,"(24.1837584, 120.6037066)","(24.115981, 120.5700868)",2018-01-09 22:11:00,27 だ,1.0
79,"(24.1837584, 120.6037066)","(24.1166845, 120.6981375)",2018-01-09 15:59:00,36 だ,1.0
80,"(24.1837584, 120.6037066)","(24.1617603, 120.5555543)",2018-01-09 03:55:00,19 だ,1.0
81,"(24.1837584, 120.6037066)","(24.199594, 120.5008403)",2018-01-09 06:55:00,29 だ,1.0
82,"(24.1837584, 120.6037066)","(24.1164953, 120.6945167)",2018-01-09 07:39:00,36 だ,1.0
83,"(24.1837584, 120.6037066)","(24.1767471, 120.6918319)",2018-01-09 19:03:00,27 だ,1.0
84,"(24.1837584, 120.6037066)","(24.15499, 120.5458165)",2018-01-09 17:50:00,23 だ,1.0
85,"(24.1837584, 120.6037066)","(24.146735, 120.5161117)",2018-01-09 05:25:00,20 だ,1.0
86,"(24.1837584, 120.6037066)","(24.1001428, 120.6173668)",2018-01-09 19:35:00,31 だ,1.0
87,"(24.1837584, 120.6037066)","(24.1852152, 120.571382)",2018-01-09 12:51:00,11 だ,1.0
88,"(24.1837584, 120.6037066)","(24.1584213, 120.5044025)",2018-01-09 07:01:00,23 だ,1.0
89,"(24.1837584, 120.6037066)","(24.1089885, 120.590949)",2018-01-09 02:26:00,23 だ,1.0
90,"(24.1837584, 120.6037066)","(24.1546242, 120.6216535)",2018-01-09 19:53:00,16 だ,1.0
91,"(24.1837584, 120.6037066)","(24.1541217, 120.6667745)",2018-01-09 11:53:00,24 だ,1.0
92,"(24.1837584, 120.6037066)","(24.175288, 120.6798892)",2018-01-09 09:26:00,24 だ,1.0
93,"(24.1837584, 120.6037066)","(24.1239009, 120.5996188)",2018-01-09 12:28:00,29 だ,1.0
94,"(24.1837584, 120.6037066)","(24.1434872, 120.5718116)",2018-01-09 13:03:00,23 だ,1.0
95,"(24.1837584, 120.6037066)","(24.183729, 120.5800785)",2018-01-09 09:03:00,9 だ,1.0
96,"(24.1837584, 120.6037066)","(24.1526399, 120.6188151)",2018-01-09 07:01:00,13 だ,1.0
97,"(24.1837584, 120.6037066)","(24.1496231, 120.641623)",2018-01-09 16:40:00,22 だ,1.0
98,"(24.1837584, 120.6037066)","(24.12281, 120.6359954)",2018-01-09 15:10:00,26 だ,1.0
99,"(24.1837584, 120.6037066)","(24.1043889, 120.5709484)",2018-01-09 19:24:00,21 だ,1.0
100,"(24.1837584, 120.6037066)","(24.1159052, 120.6094597)",2018-01-09 04:06:00,23 だ,1.0
101,"(24.1837584, 120.6037066)","(24.1018816, 120.5322183)",2018-01-09 03:33:00,26 だ,1.0
102,"(24.1837584, 120.6037066)","(24.1494742, 120.6221893)",2018-01-09 12:55:00,17 だ,1.0
103,"(24.1837584, 120.6037066)","(24.1950743, 120.5648234)",2018-01-09 17:26:00,16 だ,1.0
104,"(24.1837584, 120.6037066)","(24.1997462, 120.6944009)",2018-01-09 20:30:00,21 だ,1.0
105,"(24.1837584, 120.6037066)","(24.1986117, 120.6315194)",2018-01-09 05:20:00,13 だ,1.0
106,"(24.1837584, 120.6037066)","(24.125443, 120.5524164)",2018-01-09 22:36:00,26 だ,1.0
107,"(24.1837584, 120.6037066)","(24.1484813, 120.6964285)",2018-01-09 11:38:00,35 だ,1.0
108,"(24.1837584, 120.6037066)","(24.1561336, 120.6491287)",2018-01-09 07:49:00,21 だ,1.0
109,"(24.1837584, 120.6037066)","(24.1781403, 120.6688217)",2018-01-09 11:35:00,25 だ,1.0
110,"(24.1837584, 120.6037066)","(24.1378031, 120.6863833)",2018-01-09 19:28:00,33 だ,1.0
111,"(24.1837584, 120.6037066)","(24.1179862, 120.5266103)",2018-01-09 06:18:00,22 だ,1.0
112,"(24.1837584, 120.6037066)","(24.1161706, 120.6598344)",2018-01-09 07:29:00,31 だ,1.0
113,"(24.1837584, 120.6037066)","(24.1903036, 120.5182445)",2018-01-09 14:04:00,25 だ,1.0
114,"(24.1837584, 120.6037066)","(24.1105505, 120.6300946)",2018-01-09 14:58:00,27 だ,1.0
115,"(24.1837584, 120.6037066)","(24.1178061, 120.6140402)",2018-01-09 07:44:00,15 だ,1.0
116,"(24.1837584, 120.6037066)","(24.1257928, 120.6724855)",2018-01-09 04:13:00,34 だ,1.0
117,"(24.1837584, 120.6037066)","(24.1874497, 120.522377)",2018-01-09 21:37:00,25 だ,1.0
118,"(24.1837584, 120.6037066)","(24.1868261, 120.520182)",2018-01-09 08:01:00,25 だ,1.0
119,"(24.1837584, 120.6037066)","(24.1524487, 120.6272919)",2018-01-09 06:43:00,18 だ,1.0
120,"(24.1837584, 120.6037066)","(24.101185, 120.6341411)",2018-01-09 14:03:00,25 だ,1.0
121,"(24.1837584, 120.6037066)","(24.1939384, 120.5397275)",2018-01-09 21:13:00,19 だ,1.0
122,"(24.1837584, 120.6037066)","(24.1639542, 120.5863262)",2018-01-09 07:13:00,19 だ,1.0
123,"(24.1837584, 120.6037066)","(24.1837685, 120.5058192)",2018-01-09 12:35:00,26 だ,1.0
124,"(24.1837584, 120.6037066)","(24.1163596, 120.5597911)",2018-01-09 13:45:00,25 だ,1.0
125,"(24.1837584, 120.6037066)","(24.1761179, 120.6545992)",2018-01-09 22:02:00,20 だ,1.0
126,"(24.1837584, 120.6037066)","(24.1171967, 120.6976037)",2018-01-09 12:51:00,36 だ,1.0
127,"(24.1837584, 120.6037066)","(24.179709, 120.5164338)",2018-01-09 15:17:00,29 だ,1.0
128,"(24.1837584, 120.6037066)","(24.1466229, 120.5365103)",2018-01-09 17:23:00,29 だ,1.0
129,"(24.1837584, 120.6037066)","(24.1395542, 120.6389761)",2018-01-09 08:41:00,22 だ,1.0
130,"(24.1837584, 120.6037066)","(24.1070082, 120.6358633)",2018-01-09 20:36:00,26 だ,1.0
131,"(24.1837584, 120.6037066)","(24.1437499, 120.5940079)",2018-01-09 04:55:00,27 だ,1.0
132,"(24.1837584, 120.6037066)","(24.1021067, 120.6976399)",2018-01-09 12:13:00,33 だ,1.0
133,"(24.1837584, 120.6037066)","(24.1157686, 120.6701071)",2018-01-09 07:54:00,33 だ,1.0
134,"(24.1837584, 120.6037066)","(24.1789243, 120.5376917)",2018-01-09 10:50:00,23 だ,1.0
135,"(24.1837584, 120.6037066)","(24.1805405, 120.5462845)",2018-01-09 13:39:00,20 だ,1.0
136,"(24.1837584, 120.6037066)","(24.1399495, 120.6419337)",2018-01-09 16:07:00,22 だ,1.0
137,"(24.1837584, 120.6037066)","(24.102878, 120.6144466)",2018-01-09 08:16:00,20 だ,1.0
