,cctvid,roadsection,locationpath,startlocationpoint,endlocationpoint,px,py,url
74,64000C000075,建國路(建國四路/新興街到建國三路/北瑞街),2224,2388,2227,120.28412,22.63395,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000075&w=340&h=260
75,64000C000076,高鳳路/高松路口,-99,-99,-99,120.37106,22.57275,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000076&w=340&h=260
76,64000C000077,博愛路(博愛二路/明誠二路到博愛一路/同盟一路),1993,2003,2005,120.30329,22.65620,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000077&w=340&h=260
77,64000C000078,台 17(漢民路/沿海一路到蓮海路/茂大街),4432,4506,4508,120.35723,22.56074,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000078&w=340&h=260
78,64000C000079,建國路(建國三路/中華三路到建國二路),2224,2230,2232,120.29647,22.63792,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000079&w=340&h=260
79,64000C000080,三多路(三多二路/和平一路到三多二路/福德三路),2454,2466,2468,120.32526,22.62072,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000080&w=340&h=260
80,64000C000081,中山路(高雄)(中山三路/復興三路到中山三路/光華三路),2013,2025,2079,120.30894,22.60501,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000081&w=340&h=260
81,64000C000082,中山路(高雄)(中山三路/光華三路到中山四路/五甲三路),2013,2079,2028,120.31642,22.59628,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000082&w=340&h=260
82,64000C000083,(新生路-中興路)(新生路/中興路到新生路/旗津一路),2520,2521,2523,120.35025,22.52492,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000083&w=340&h=260
83,64000C000084,左楠路(左楠路/加昌路到左楠路/後昌路),1929,1930,1931,120.30463,22.71780,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000084&w=340&h=260
84,64000C000085,中正路(高雄交流道(中正1路)到中正路/三多一路),2271,2286,2287,120.34235,22.62474,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000085&w=340&h=260
85,64000C000086,中正路(中正三路/復興一路到中正二路/和平一路),2271,2280,2282,120.31328,22.63063,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000086&w=340&h=260
86,64000C000087,中山路(高雄)(中山一路/六合一路到中山一路/中山一路-民生一路-民生二路圓環),2013,2017,2019,120.30191,22.63136,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000087&w=340&h=260
87,64000C000088,加昌路(加昌路/後昌路到加昌路/右昌街),1912,1917,1919,120.29143,22.71319,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000088&w=340&h=260
88,64000C000089,左營大路(左營大路/必勝路到左營大路/中華路-鼓山三路圓環),1940,1946,1947,120.28659,22.67219,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000089&w=340&h=260
89,64000C000090,中山路(高雄)(中山三路/光華三路到中山三路/凱旋四路),2013,2079,2027,120.31384,22.59870,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000090&w=340&h=260
90,64000C000091,中山路(高雄)(中山二路/四維四路到中山三路/復興三路),2013,2023,2025,120.30458,22.61394,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000091&w=340&h=260
91,64000C000092,中山路(高雄)(中山三路/凱旋四路到高雄端),2013,2027,2029,120.32231,22.58855,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000092&w=340&h=260
92,64000C000093,左楠路(左楠路/後昌路到左楠路/左營大路),1929,1931,1932,120.30254,22.70087,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000093&w=340&h=260
93,64000C000094,九如路(九如一路/大順二路到九如一路/水源路),2203,2216,2220,120.33758,22.63750,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000094&w=340&h=260
94,64000C000095,瑞隆路(瑞隆路/武營路到瑞隆路/保泰路),2495,2499,2500,120.33907,22.60611,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000095&w=340&h=260
95,64000C000096,中山路(高雄)(中山三路/光華三路到中山四路/五甲三路),2013,2079,2028,120.31567,22.59579,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000096&w=340&h=260
96,64000C000097,中正路(中正二路/和平一路到中正路/大順三路),2271,2282,2284,120.32166,22.62998,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000097&w=340&h=260
97,64000C000098,中山路(高雄)(中山四路/中安路到中山四路/平和東路),2013,2030,2032,120.33208,22.57667,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000098&w=340&h=260
98,64000C000099,中正路(中正四路/自強二路到中正四路/自立二路),2271,2275,2277,120.29585,22.62942,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000099&w=340&h=260
99,64000C000100,青年路(青年二路/海邊路到青年二路/永明街),2428,2429,2430,120.29354,22.61723,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000100&w=340&h=260
100,64000C000101,博愛路(博愛三路/孟子路到博愛三路/新莊一路),1993,1999,2001,120.30371,22.67069,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000101&w=340&h=260
101,64000C000102,博愛路(博愛三路/新莊一路到博愛二路/明誠二路),1993,2001,2003,120.30326,22.66590,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000102&w=340&h=260
102,64000C000103,中山路(高雄)(中山路/建國二路到中山一路/七賢二路),2013,2014,2016,120.30235,22.63600,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000103&w=340&h=260
103,64000C000104,博愛路(博愛一路/十全一路到博愛一路/九如二路),1993,2006,2007,120.30299,22.64406,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000104&w=340&h=260
104,64000C000105,中山路(高雄)(中山一路/中山一路-民生一路-民生二路圓環到中山二路/新田路),2013,2019,2021,120.30101,22.62314,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000105&w=340&h=260
105,64000C000106,中海路(中海路/軍校路到中海路/中正路),1933,1934,1935,120.29255,22.70068,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000106&w=340&h=260
106,64000C000107,中山路(高雄)(中山三路/中山四路到中山一路/五福三路),2013,2018,2020,120.30150,22.62732,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000107&w=340&h=260
107,64000C000108,大順路(大順二路/九如一路到大順三路/河北路),2153,2161,2163,120.32570,22.63285,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000108&w=340&h=260
108,64000C000109,中正路(中正五路/大公路到中正四路/成功一路),2271,2272,2274,120.28885,22.62703,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000109&w=340&h=260
109,64000C000110,建工路(建工路/大順二路到建工路/建德路),2164,2167,2166,120.32935,22.65230,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000110&w=340&h=260
110,64000C000111,中山路(高雄)(中山路/建國二路到中山一路/中博車行地下道),2013,2014,2015,120.30249,22.63780,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000111&w=340&h=260
111,64000C000112,博愛路(博愛二路/裕誠路到博愛二路/大順一路),1993,2002,2004,120.29786,22.61853,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000112&w=340&h=260
112,64000C000113,成功路(成功一路/民生二路到成功一路/新田路),2303,2307,2309,120.29504,22.62115,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000113&w=340&h=260
113,64000C000114,七賢路(七賢一路/民族二路到七賢一路/和平一路),2246,2255,2256,120.31669,22.63365,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000114&w=340&h=260
114,64000C000115,九如路(九如二路/中華二路到九如二路/博愛一路),2203,2210,2212,120.29617,22.64182,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000115&w=340&h=260
115,64000C000116,博愛路(博愛一路/中博車行地下道到博愛一路/九如二路),1993,2008,2007,120.30279,22.64137,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000116&w=340&h=260
116,64000C000117,左營大路(左營大路/店仔頂路到左營大路/介壽路),1940,1944,1945,120.28807,22.68181,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000117&w=340&h=260
117,64000C000118,建國路(建國一路/民族二路到建國一路/六合路),2224,2234,2267,120.31684,22.63493,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000118&w=340&h=260
118,64000C000119,美術館路/美術東二路,-99,-99,-99,120.28818,22.65494,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000119&w=340&h=260
119,64000C000120,海功路/軍校路口,-99,-99,-99,120.29246,22.69369,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000120&w=340&h=260
120,64000C000121,翠華路(翠華路/東門路到翠華路/中華一路),1954,1960,1961,120.29112,22.67207,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000121&w=340&h=260
121,64000C000122,哨船街/臨海二路,-99,-99,-99,120.26951,22.62447,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000122&w=340&h=260
122,64000C000123,蓮海路-中山大學大門停車場出口,-99,-99,-99,120.26682,22.61774,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000123&w=340&h=260
123,64000C000124,鼓山渡輪站,-99,-99,-99,120.27016,22.61977,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000124&w=340&h=260
124,64000C000125,鼓山路(鼓山三路/五福四路到鼓山三路/濱海一路),1965,1974,1975,120.27501,22.62128,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000125&w=340&h=260
125,64000C000126,五福路(五福四路/鼓山三路到五福四路/建國四路),2401,2402,2405,120.27809,22.62638,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000126&w=340&h=260
126,64000C000127,中正路(中正五路/大公路到中正四路/成功一路),2271,2272,2274,120.28781,22.62670,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000127&w=340&h=260
127,64000C000128,公園路/七賢路,-99,-99,-99,120.28026,22.62283,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000128&w=340&h=260
128,64000C000129,五福路(五福四路/建國四路到五福四路/河西路),2401,2405,2407,120.28136,22.62478,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000129&w=340&h=260
129,64000C000130,五福路(五福四路/七賢三路到五福四路/海邊路),2401,2406,2408,120.28948,22.62079,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000130&w=340&h=260
130,64000C000131,建國路(建國二路/復興一路到建國一路/和平一路),2224,2270,2235,120.31368,22.63732,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000131&w=340&h=260
131,64000C000132,建國路(建國一路/福德二路到建國一路/正義路),2224,2238,2239,120.33726,22.63028,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000132&w=340&h=260
132,64000C000133,建國路(建國一路/福德二路到建國一路/正義路),2224,2238,2239,120.33558,22.63080,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000133&w=340&h=260
133,64000C000134,大業北路(大業北路/中山四路到大業北路/小港路),2580,2581,2582,120.34297,22.56965,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000134&w=340&h=260
